id,name,draft_year,draft_pick,nba_career_start,nba_career_end,nba_games_played,nba_all_star_selections,nba_all_nba_selections,nba_championships,nba_mvps,nba_rookie_of_the_year,nba_dpoy,nba_mip,nba_sixth_man,college_stats_raw,international_stats_raw,position,height_cm,weight_kg,original_radar_score,current_status_badge,nba_career_ppg,nba_career_rpg,nba_career_apg,nba_career_fg_pct,nba_career_three_pct,nba_career_ft_pct,nba_career_spg,nba_career_bpg
alec-burks,Alec Burks,2011,12,,,,0,,,,false,false,false,false,"{""apg"":2.4,""ppg"":19,""rpg"":5.8,""fg_pct"":0.495,""ft_pct"":0.804,""three_pct"":0.313}",,Guard,196,97,0.37,Bust (Loteria),10.728,3.353,1.951,0.412,0.384,0.817,0.67,0.212
andrei-kirilenko,Andrei Kirilenko,1999,24,2001,2015,797,1,0,0,0,false,false,false,false,"{""apg"":2.7,""ppg"":14.4,""rpg"":8.1,""fg_pct"":0.48,""ft_pct"":0.77,""three_pct"":0.32}","{""apg"":2.1,""ppg"":15.2,""rpg"":7.8,""fg_pct"":0.47}",Forward,206,101,0.8,Defensive Specialist,11.833,5.46,2.721,0.474,0.31,0.754,1.376,1.833
anthony-bennett,Anthony Bennett,,,2013,2016,151,0,0,0,0,false,false,false,false,{},,,,,0.24,Bust,4.358,3.126,0.51,0.392,0.261,0.67,0.384,0.179
anthony-edwards,Anthony Edwards,2020,1,2020,2025,300,1,0,0,0,false,false,false,false,"{""apg"":2.8,""ppg"":19.3,""rpg"":4.7,""fg_pct"":0.441,""ft_pct"":0.78,""three_pct"":0.35}",,Guard,193,102,0.85,All-Star,23.877,5.294,4.199,0.446,0.364,0.804,1.323,0.612
bam-adebayo,Bam Adebayo,2017,14,,,,3,,,,false,false,false,false,"{""apg"":0.8,""ppg"":13,""rpg"":8,""fg_pct"":0.599,""ft_pct"":0.653,""three_pct"":0}",,Center-Forward,206,116,0.33,All-Star,15.737,8.861,3.605,0.537,0.314,0.756,1.071,0.862
ben-mclemore,Ben McLemore,2013,7,,,,0,,,,false,false,false,false,"{""apg"":2,""ppg"":15.9,""rpg"":5.2,""fg_pct"":0.495,""ft_pct"":0.87,""three_pct"":0.42}",,Guard,191,88,0.37,Bust (Loteria),8.901,2.248,0.989,0.411,0.361,0.778,0.617,0.189
ben-simmons,Ben Simmons,2016,1,2017,2025,400,3,0,0,0,true,false,false,false,"{""apg"":4.2,""ppg"":19.2,""rpg"":11.8,""fg_pct"":0.56,""ft_pct"":0.67,""three_pct"":0}",,Forward,208,108,0.7,Bust (Loteria),12.159,7.099,7.002,0.556,0.139,0.595,1.396,0.641
bismack-biyombo,Bismack Biyombo,2011,7,,,,0,,,,false,false,false,false,{},,Center,203,116,0.17,Bust (Loteria),5.037,5.863,0.7,0.538,0,0.549,0.269,1.254
brandon-knight,Brandon Knight,,,2011,2021,578,0,0,0,0,false,false,false,false,{},,,,,0.24,Veterano Sólido,13.529,2.991,3.888,0.41,0.355,0.811,0.877,0.156
brook-lopez,Brook Lopez,2008,10,,,,1,,,,false,false,false,false,"{""apg"":1.1,""ppg"":16,""rpg"":7.1,""fg_pct"":0.48,""ft_pct"":0.764,""three_pct"":0.143}",,Center,216,128,0.33,Veterano sólido,15.852,6.097,1.461,0.497,0.352,0.797,0.573,1.864
cade-cunningham,Cade Cunningham,2021,1,2021,2025,150,0,0,0,0,true,false,false,false,"{""apg"":5.6,""ppg"":17.4,""rpg"":5.5,""fg_pct"":0.42,""ft_pct"":0.84,""three_pct"":0.34}",,Guard,201,100,0.78,Promissor,22.058,5.389,7.356,0.446,0.339,0.853,1.034,0.601
charles-barkley,Charles Barkley,1984,5,1984,2000,1073,11,11,0,1,false,false,false,false,"{""apg"":3.9,""ppg"":14.8,""rpg"":12.7,""fg_pct"":0.61,""ft_pct"":0.73,""three_pct"":0.28}",,Forward,198,114,0.96,Hall of Fame,22.141,11.692,3.928,0.541,0.266,0.735,1.536,0.828
chet-holmgren,Chet Holmgren,2022,2,2023,2025,82,0,0,0,0,false,false,false,false,"{""apg"":2.4,""ppg"":14.5,""rpg"":9.8,""fg_pct"":0.51,""ft_pct"":0.8,""three_pct"":0.39}",,Center,213,88,0.8,Promissor,16.105,7.939,2.307,0.519,0.372,0.78,0.667,2.289
dant-exum,Danté Exum,2014,5,,,,0,,,,false,false,false,false,{},,Guard,196,97,0.17,Jogador de rotação,6.056,1.944,2.163,0.437,0.344,0.763,0.417,0.169
dante-exum,Dante Exum,,5,,,,,,,,false,false,false,false,"{""apg"":4.2,""per"":20,""ppg"":18.2,""rpg"":3.8,""defense"":7,""shooting"":6,""archetype"":""Athletic Guard"",""leadership"":6,""ts_percent"":0.55,""usage_rate"":0.15,""tov_percent"":0.15,""ballHandling"":7,""basketballIQ"":6.5,""careerRating"":3.5}",,PG,198,,0.48,Jogador de rotação,,,,,,,,
dennis-rodman,Dennis Rodman,1986,27,1986,2000,911,2,2,5,0,false,true,false,false,"{""apg"":1.8,""ppg"":11.2,""rpg"":13.1,""fg_pct"":0.52,""ft_pct"":0.72,""three_pct"":0.18}",,Forward,201,100,0.93,Hall of Fame,7.336,13.122,1.756,0.521,0.231,0.584,0.671,0.583
derrick-white,Derrick White,2017,29,,,,0,,,,false,false,false,false,"{""apg"":4.4,""ppg"":18.1,""rpg"":4.1,""fg_pct"":0.507,""ft_pct"":0.813,""three_pct"":0.396}",,Guard,193,86,0.38,Elite role player,12.989,3.636,4.272,0.444,0.362,0.854,0.824,0.886
derrick-williams,Derrick Williams,,,2011,2017,556,0,0,0,0,false,false,false,false,{},,,,,0.24,Veterano Sólido,8.52,3.86,0.678,0.434,0.297,0.708,0.469,0.243
devin-booker,Devin Booker,2015,13,,,,3,,,,false,false,false,false,"{""apg"":1.1,""ppg"":10,""rpg"":2,""fg_pct"":0.47,""ft_pct"":0.828,""three_pct"":0.411}",,Guard,198,93,0.32,All-Star,24.446,4.039,5.233,0.464,0.354,0.873,0.857,0.282
dragan-bender,Dragan Bender,,,2016,2019,203,0,0,0,0,false,false,false,false,{},,,,,0.24,Jogador de Rotação,5.522,3.906,1.305,0.404,0.325,0.66,0.286,0.567
enes-freedom,Enes Freedom,,,2011,2021,890,0,0,0,0,false,false,false,false,{},,,,,0.24,Veterano Sólido,11.716,8.036,0.909,0.545,0.303,0.778,0.409,0.47
evan-mobley,Evan Mobley,2021,3,2021,2025,150,0,0,0,0,false,false,false,false,"{""apg"":2.5,""ppg"":15.2,""rpg"":8.7,""fg_pct"":0.51,""ft_pct"":0.78,""three_pct"":0.34}",,Forward,213,98,0.8,Promissor,16.401,8.952,2.914,0.548,0.315,0.694,0.825,1.558
frank-ntilikina,Frank Ntilikina,2017,8,,,,0,,,,false,false,false,false,{},,Guard,193,91,0.17,Bust (Loteria),4.782,1.754,2.159,0.369,0.32,0.762,0.654,0.206
giannis-antetokounmpo,Giannis Antetokounmpo,2013,15,,,,8,,,,false,false,false,false,{},,Forward,211,110,0.17,Superstar,23.909,9.93,4.992,0.551,0.284,0.693,1.119,1.239
hakeem-olajuwon,Hakeem Olajuwon,1984,1,1984,2002,1238,12,12,2,1,false,true,false,false,"{""apg"":2.1,""ppg"":16.8,""rpg"":13.3,""fg_pct"":0.567,""ft_pct"":0.74,""three_pct"":0.2}",,Center,213,116,0.97,Hall of Fame,21.766,11.105,2.47,0.512,0.202,0.712,1.746,3.094
jalen-green,Jalen Green,2021,2,2021,2025,150,0,0,0,0,false,false,false,false,"{""apg"":2.6,""ppg"":17.8,""rpg"":3.4,""fg_pct"":0.41,""ft_pct"":0.79,""three_pct"":0.36}",,Guard,198,82,0.77,Promissor,20.107,4.267,3.355,0.422,0.342,0.799,0.782,0.296
jan-vesely,Jan Vesely,,,2011,2013,216,0,0,0,0,false,false,false,false,{},,,,,0.24,Jogador de Rotação,3.644,3.486,0.542,0.519,0,0.39,0.741,0.551
jayson-tatum,Jayson Tatum,2017,3,,,,6,,,,false,false,false,false,"{""apg"":2.1,""ppg"":16.8,""rpg"":7.3,""fg_pct"":0.452,""ft_pct"":0.849,""three_pct"":0.342}",,Forward-Guard,203,95,0.37,Superstar,23.562,7.338,3.834,0.459,0.37,0.84,1.092,0.656
jimmer-fredette,Jimmer Fredette,,,2011,2018,296,0,0,0,0,false,false,false,false,{},,,,,0.24,Jogador de Rotação Sólido,5.811,0.997,1.338,0.418,0.387,0.88,0.368,0.047
