id,name,draft_year,draft_pick,nba_career_start,nba_career_end,nba_games_played,nba_all_star_selections,nba_all_nba_selections,nba_championships,nba_mvps,nba_rookie_of_the_year,nba_dpoy,nba_mip,nba_sixth_man,college_stats_raw,international_stats_raw,position,height_cm,weight_kg,original_radar_score,current_status_badge,nba_career_ppg,nba_career_rpg,nba_career_apg,nba_career_fg_pct,nba_career_three_pct,nba_career_ft_pct,nba_career_spg,nba_career_bpg,archetypes
alec-burks,Alec Burks,2011,12,,,,0,,,,false,false,false,false,"{""apg"":2.4,""ppg"":19,""rpg"":5.8,""fg_pct"":0.495,""ft_pct"":0.804,""three_pct"":0.313}",,SG,196,97,0.37,Bust (Loteria),10.728,3.353,1.951,0.412,0.384,0.817,0.67,0.212,
allen-iverson,Allen Iverson,1996,1,1996,,914,,,,,,,,,,,SG,183,75,,Hall of Fame,26.7,3.7,6.2,0.425,0.313,0.78,2.2,0.2,"[""Elite Scorer / Volume Scorer"",""Athletic Finisher / Slasher"",""Primary Ball-Handler / Playmaker""]"
andrei-kirilenko,Andrei Kirilenko,1999,24,2001,2015,797,1,0,0,0,false,false,false,false,"{""apg"":2.7,""ppg"":14.4,""rpg"":8.1,""fg_pct"":0.48,""ft_pct"":0.77,""three_pct"":0.32}","{""apg"":2.1,""ppg"":15.2,""rpg"":7.8,""fg_pct"":0.47}",PF,206,101,0.8,Defensive Specialist,11.833,5.46,2.721,0.474,0.31,0.754,1.376,1.833,
anthony-bennett,Anthony Bennett,,,2013,2016,151,0,0,0,0,false,false,false,false,{},,PF,,,0.24,Bust,4.358,3.126,0.51,0.392,0.261,0.67,0.384,0.179,
anthony-edwards,Anthony Edwards,2020,1,2020,2025,300,1,0,0,0,false,false,false,false,"{""apg"":2.8,""ppg"":19.3,""rpg"":4.7,""fg_pct"":0.441,""ft_pct"":0.78,""three_pct"":0.35}",,SG,193,102,0.85,All-Star,23.877,5.294,4.199,0.446,0.364,0.804,1.323,0.612,"[""Elite Scorer / Volume Scorer"",""Athletic Finisher / Slasher""]"
bam-adebayo,Bam Adebayo,2017,14,,,567,3,,,,false,false,false,false,"{""apg"":0.8,""ppg"":13,""rpg"":8,""fg_pct"":0.599,""ft_pct"":0.653,""three_pct"":0}",,C,206,116,0.33,All-Star,15.737,8.861,3.605,0.537,0.314,0.756,1.071,0.862,"[""Defensive Anchor / Rim Protector"",""Versatile Forward / All-Around""]"
ben-mclemore,Ben McLemore,2013,7,,,556,0,,,,false,false,false,false,"{""apg"":2,""ppg"":15.9,""rpg"":5.2,""fg_pct"":0.495,""ft_pct"":0.87,""three_pct"":0.42}",,SG,191,88,0.37,Bust (Loteria),8.901,2.248,0.989,0.411,0.361,0.778,0.617,0.189,
ben-simmons,Ben Simmons,2016,1,2017,2025,400,3,0,0,0,true,false,false,false,"{""apg"":4.2,""ppg"":19.2,""rpg"":11.8,""fg_pct"":0.56,""ft_pct"":0.67,""three_pct"":0}",,PG,208,108,0.7,Bust (Loteria),12.159,7.099,7.002,0.556,0.139,0.595,1.396,0.641,"[""Primary Ball-Handler / Playmaker"",""Elite Perimeter Defender""]"
bismack-biyombo,Bismack Biyombo,2011,7,,,867,0,,,,false,false,false,false,{},,C,203,116,0.17,Bust (Loteria),5.037,5.863,0.7,0.538,0,0.549,0.269,1.254,"[""Defensive Anchor / Rim Protector"",""Rebounding Specialist""]"
brandon-knight,Brandon Knight,,,2011,2021,578,0,0,0,0,false,false,false,false,{},,PG,,,0.24,Veterano Sólido,13.529,2.991,3.888,0.41,0.355,0.811,0.877,0.156,
