id,name,draft_year,draft_pick,nba_career_start,nba_career_end,nba_games_played,nba_all_star_selections,nba_all_nba_selections,nba_championships,nba_mvps,nba_rookie_of_the_year,nba_dpoy,nba_mip,nba_sixth_man,college_stats_raw,international_stats_raw,position,height_cm,weight_kg,original_radar_score,current_status_badge
alec-burks,Alec Burks,2011,12,,,,0,,,,,,,,"{""apg"":2.4,""ppg"":19,""rpg"":5.8,""fg_pct"":0.495,""ft_pct"":0.804,""three_pct"":0.313}",,Guard,196,97,0.37,Bust (Loteria)
anthony-bennett,Anthony Bennett,,,2013,2016,151,0,0,0,0,false,false,false,false,{},,,,,0.24,Jogador de Rotação
bam-adebayo,Bam Adebayo,2017,14,,,,3,,,,,,,,"{""apg"":0.8,""ppg"":13,""rpg"":8,""fg_pct"":0.599,""ft_pct"":0.653,""three_pct"":0}",,Center-Forward,206,116,0.33,All-Star
ben-mclemore,Ben McLemore,2013,7,,,,0,,,,,,,,"{""apg"":2,""ppg"":15.9,""rpg"":5.2,""fg_pct"":0.495,""ft_pct"":0.87,""three_pct"":0.42}",,Guard,191,88,0.37,Bust (Loteria)
bismack-biyombo,Bismack Biyombo,2011,7,,,,0,,,,,,,,{},,Center,203,116,0.17,Bust (Loteria)
brandon-knight,Brandon Knight,,,2011,2021,578,0,0,0,0,false,false,false,false,{},,,,,0.24,Veterano Sólido
brook-lopez,Brook Lopez,2008,10,,,,1,,,,,,,,"{""apg"":1.1,""ppg"":16,""rpg"":7.1,""fg_pct"":0.48,""ft_pct"":0.764,""three_pct"":0.143}",,Center,216,128,0.33,All-Star
dant-exum,Danté Exum,2014,5,,,,0,,,,,,,,{},,Guard,196,97,0.17,Bust (Loteria)
dante-exum,Dante Exum,,5,,,,,,,,,,,,"{""apg"":4.2,""per"":20,""ppg"":18.2,""rpg"":3.8,""defense"":7,""shooting"":6,""archetype"":""Athletic Guard"",""leadership"":6,""ts_percent"":0.55,""usage_rate"":0.15,""tov_percent"":0.15,""ballHandling"":7,""basketballIQ"":6.5,""careerRating"":3.5}",,PG,198,,0.48,Bust (Loteria)
derrick-white,Derrick White,2017,29,,,,0,,,,,,,,"{""apg"":4.4,""ppg"":18.1,""rpg"":4.1,""fg_pct"":0.507,""ft_pct"":0.813,""three_pct"":0.396}",,Guard,193,86,0.38,Bust (1ª Rodada)
derrick-williams,Derrick Williams,,,2011,2017,556,0,0,0,0,false,false,false,false,{},,,,,0.24,Veterano Sólido
devin-booker,Devin Booker,2015,13,,,,3,,,,,,,,"{""apg"":1.1,""ppg"":10,""rpg"":2,""fg_pct"":0.47,""ft_pct"":0.828,""three_pct"":0.411}",,Guard,198,93,0.32,All-Star
dragan-bender,Dragan Bender,,,2016,2019,203,0,0,0,0,false,false,false,false,{},,,,,0.24,Jogador de Rotação
enes-freedom,Enes Freedom,,,2011,2021,890,0,0,0,0,false,false,false,false,{},,,,,0.24,Veterano Sólido
frank-ntilikina,Frank Ntilikina,2017,8,,,,0,,,,,,,,{},,Guard,193,91,0.17,Bust (Loteria)
giannis-antetokounmpo,Giannis Antetokounmpo,2013,15,,,,8,,,,,,,,{},,Forward,211,110,0.17,All-Star Perene
jan-vesely,Jan Vesely,,,2011,2013,216,0,0,0,0,false,false,false,false,{},,,,,0.24,Jogador de Rotação
jayson-tatum,Jayson Tatum,2017,3,,,,6,,,,,,,,"{""apg"":2.1,""ppg"":16.8,""rpg"":7.3,""fg_pct"":0.452,""ft_pct"":0.849,""three_pct"":0.342}",,Forward-Guard,203,95,0.37,All-Star Perene
jimmer-fredette,Jimmer Fredette,,,2011,2018,296,0,0,0,0,false,false,false,false,{},,,,,0.24,Jogador de Rotação Sólido
jonas-valaninas,Jonas Valančiūnas,,,2012,2024,1067,0,0,0,0,false,false,false,false,{},,,,,0.24,Veterano Sólido
jrue-holiday,Jrue Holiday,2009,17,,,,2,,,,,,,,"{""apg"":3.7,""ppg"":8.5,""rpg"":3.8,""fg_pct"":0.45,""ft_pct"":0.726,""three_pct"":0.307}",,Guard,193,93,0.32,All-Star
kawhi-leonard,Kawhi Leonard,2011,15,,,,6,,,,,,,,"{""apg"":2.2,""ppg"":14.1,""rpg"":10.2,""fg_pct"":0.449,""ft_pct"":0.744,""three_pct"":0.25}",,Forward,201,102,0.35,All-Star Perene
kemba-walker,Kemba Walker,2011,9,,,,4,,,,,,,,"{""apg"":4.1,""ppg"":16.1,""rpg"":4.4,""fg_pct"":0.428,""ft_pct"":0.783,""three_pct"":0.326}",,Guard,183,83,0.36,All-Star
klay-thompson,Klay Thompson,2011,11,,,,5,,,,,,,,"{""apg"":2.6,""ppg"":17.9,""rpg"":4.8,""fg_pct"":0.424,""ft_pct"":0.827,""three_pct"":0.39}",,Guard,196,100,0.37,All-Star Perene
kyrie-irving,Kyrie Irving,2011,1,,,,9,,,,,,,,"{""apg"":4.3,""ppg"":17.5,""rpg"":3.4,""fg_pct"":0.529,""ft_pct"":0.901,""three_pct"":0.462}",,Guard,188,88,0.39,All-Star Perene
lebron-james,LeBron James,2003,1,,,,20,,,,,,,,{},,Forward,206,113,0.17,All-Star Perene
luka-doni,Luka Dončić,,,2018,2024,500,0,0,0,0,false,false,false,false,{},,,,,0.24,Jogador de Rotação Sólido
marcus-morris-sr,Marcus Morris Sr.,2011,14,,,,0,,,,,,,,"{""apg"":1.3,""ppg"":12.6,""rpg"":6.2,""fg_pct"":0.555,""ft_pct"":0.66,""three_pct"":0.358}",,Forward,203,99,0.33,Bust (Loteria)
markelle-fultz,Markelle Fultz,2017,1,,,,0,,,,,,,,"{""apg"":5.9,""ppg"":23.2,""rpg"":5.7,""fg_pct"":0.476,""ft_pct"":0.649,""three_pct"":0.413}",,Guard,193,95,0.37,Bust (Loteria)
markieff-morris,Markieff Morris,2011,13,,,,0,,,,,,,,"{""apg"":1.2,""ppg"":8.5,""rpg"":6.1,""fg_pct"":0.553,""ft_pct"":0.653,""three_pct"":0.404}",,Forward,206,111,0.32,Bust (Loteria)
