id,name,draft_year,draft_pick,nba_career_start,nba_career_end,nba_games_played,nba_all_star_selections,nba_all_nba_selections,nba_championships,nba_mvps,nba_rookie_of_the_year,nba_dpoy,nba_mip,nba_sixth_man,college_stats_raw,international_stats_raw,position,height_cm,weight_kg,original_radar_score,current_status_badge
michael-jordan,Michael Jordan,1984,3,1984,2003,1072,14,10,6,5,true,false,false,false,"{""apg"":5.3,""ppg"":17.7,""rpg"":5.0,""fg_pct"":0.541,""ft_pct"":0.784,""three_pct"":0.384}",,Guard,198,98,0.99,Hall of Fame
shaquille-oneal,Shaquille O'Neal,1992,1,1992,2011,1207,15,8,4,1,true,false,false,false,"{""apg"":1.7,""ppg"":22.2,""rpg"":13.2,""fg_pct"":0.627,""ft_pct"":0.604,""three_pct"":0.000}",,Center,216,147,0.95,Hall of Fame
kobe-bryant,Kobe Bryant,1996,13,1996,2016,1346,18,15,5,1,true,false,false,false,"{""apg"":4.5,""ppg"":17.6,""rpg"":6.3,""fg_pct"":0.454,""ft_pct"":0.772,""three_pct"":0.365}",,Guard,198,96,0.97,Hall of Fame
kevin-durant,Kevin Durant,2007,2,2007,2025,1064,14,10,2,1,true,false,false,false,"{""apg"":1.3,""ppg"":25.8,""rpg"":11.1,""fg_pct"":0.532,""ft_pct"":0.823,""three_pct"":0.398}",,Forward,208,109,0.96,All-Star Perene
tim-duncan,Tim Duncan,1997,1,1997,2016,1392,15,15,5,2,true,true,false,false,"{""apg"":2.9,""ppg"":16.5,""rpg"":14.7,""fg_pct"":0.604,""ft_pct"":0.688,""three_pct"":0.200}",,Forward-Center,211,113,0.95,Hall of Fame
manu-ginobili,Manu Ginóbili,1999,57,2002,2018,1057,2,0,4,0,false,false,false,true,"{""apg"":3.8,""ppg"":16.9,""rpg"":4.0,""fg_pct"":0.480,""ft_pct"":0.770,""three_pct"":0.350}","{""apg"":3.5,""ppg"":16.7,""rpg"":4.4,""fg_pct"":0.470}",Guard,198,93,0.85,Hall of Fame
ben-simmons,Ben Simmons,2016,1,2017,2025,400,3,0,0,0,true,false,false,false,"{""apg"":4.2,""ppg"":19.2,""rpg"":11.8,""fg_pct"":0.560,""ft_pct"":0.670,""three_pct"":0.000}",,Forward,208,108,0.70,Bust (Loteria)
marcus-smart,Marcus Smart,2014,6,2014,2025,700,1,0,0,0,false,false,true,false,"{""apg"":4.8,""ppg"":16.6,""rpg"":5.9,""fg_pct"":0.420,""ft_pct"":0.780,""three_pct"":0.340}",,Guard,193,100,0.75,Defensive Specialist
lou-williams,Lou Williams,2005,45,2005,2022,1123,0,0,0,0,false,false,false,true,"{""apg"":3.4,""ppg"":27.5,""rpg"":4.1,""fg_pct"":0.480,""ft_pct"":0.820,""three_pct"":0.370}",,Guard,185,80,0.68,Sixth Man
andrei-kirilenko,Andrei Kirilenko,1999,24,2001,2015,797,1,0,0,0,false,false,true,false,"{""apg"":2.7,""ppg"":14.4,""rpg"":8.1,""fg_pct"":0.480,""ft_pct"":0.770,""three_pct"":0.320}","{""apg"":2.1,""ppg"":15.2,""rpg"":7.8,""fg_pct"":0.470}",Forward,206,101,0.80,Defensive Specialist
