id,name,position,school,nationality,height,weight,wingspan,age,tier,ranking,stats,analysis,strengths,weaknesses,image,displayinfo,created_at,displayInfo,draftClass,eligibilityStatus,verified,region,team,trending,ranking_espn,ranking_247,ppg,apg,rpg,fg_pct,three_pct,ft_pct,bpg,spg,high_school_team,comparison,scope,source,last_verified_at,api_basketball_id,games_played,total_points,total_field_goal_attempts,two_pt_makes,two_pt_attempts,three_pt_makes,three_pt_attempts,ft_makes,ft_attempts,total_rebounds,total_assists,minutes_played,turnovers,total_blocks,total_steals,ts_percent,efg_percent,orb_percent,drb_percent,trb_percent,ast_percent,tov_percent,stl_percent,blk_percent,usg_percent,total_s_percent,ppr,pp_s,ortg,drtg,win_shares,vorp,bpm,athleticism,strength,speed,shooting,ball_handling,defense,basketball_iq,leadership,improvement,competition_level,coachability,work_ethic,per,games_started,motor,badges,ncaa_raw_stats,conference,league,stats-season,high_school_stats,qualitative_traits,qualitative_archetypes
273e531e-45aa-45e6-a17e-5587afd993e8,Gabriel Landeira,PG,Paulistano,🇧🇷,"{""us"":""6'4"",""intl"":197}","{""us"":202,""intl"":92}",78.5,21,Second Round,85,,,,,,,2025-08-18 04:52:45.215+00,,2026,,false,Brazil,Paulistano,,,,7.1,2.7,2.6,0.437,0.376,0.8,0.1,0.8,Paulistano,,international,RealGM_2024_Enhanced_Scraper,2025-08-18 04:52:45.789303+00,,39,275,222,,,41,109,40,50,103,106,832,80,2,31,0.564,0.529,1.9,14.4,7.9,23,24.7,2.1,0.3,18.5,,,,99.9,106,,,,,,,,,,,,,,,,11.4,21,,[],,,NBB,"""2024-25""",,"{""high_motor"":false,""elite_passer"":true,""well_rounded"":false,""long_wingspan"":false,""rim_protector"":false,""volume_scorer"":false,""elite_defender"":false,""solid_defender"":false,""tall_playmaker"":true,""low_athleticism"":true,""off_ball_threat"":false,""low_usage_player"":false,""versatile_scorer"":false,""athletic_finisher"":false,""improving_shooter"":true,""developing_shooter"":true,""high_basketball_iq"":true,""high_ft_percentage"":true,""high_usage_playmaker"":true,""strong_perimeter_defender"":true,""catch_and_shoot_specialist"":false,""strong_rebounder_for_position"":false}","[""PURE_PLAYMAKER""]"
5e3f7857-4613-428e-aa1a-4a05bd9d2885,Michael Porter Jr.,SF,Missouri,🇺🇸,"{""us"":""6'10\""""}","{""us"":215,""intl"":97}","7'0.25\""",20,,,,,,,,,2025-08-08 23:25:19.057766+00,,2018,,,,,,5,2,10,0.3,6.7,0.333,0.3,0.778,0.3,1,,,,,2025-08-08 23:25:19.057766+00,,3,,,,,3,10,7,9,,,,,,,0.383,,5,,12,2,0,2,1,23.6,,,,,,0,,-6.2,,,,,,,,,,,,,9.4,,,[],,,NCAA,,,,
7657b5c6-9a1b-4c48-ae1a-07642838c2ea,Acaden Lewis,PG,,,"6'2""",180 lbs,,,,32,48,,,,,,2025-09-09 17:19:03.391513+00,,2026,,,,,,,,0,0,0,0,0,0,0,0,Sidwell Friends (DC),,,high_school_total,2025-09-09 17:19:03.391513+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,"{""season_total"":{""pf"":14,""to"":29,""3pa"":58,""3pm"":19,""ast"":35,""blk"":3,""fga"":102,""fgm"":38,""fta"":30,""ftm"":18,""min"":0,""pps"":1.1,""pts"":113,""reb"":37,""stl"":15,""2fga"":44,""2fgm"":19,""dreb"":30,""oreb"":7,""3p_pct"":33,""fg_pct"":37,""ft_pct"":60,""league"":""Varsity"",""season"":""2024-25"",""2fg_pct"":43,""afg_pct"":47,""games_played"":9}}",,
8d2e1030-0b51-4806-a544-d3f8b4551361,Shon Abaev,,,,,,,,,,,,,,,,2025-09-09 17:12:47.710964+00,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,2025-09-09 17:12:47.710964+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,"{""season_total"":{""pf"":0,""to"":78,""3pa"":129,""3pm"":43,""ast"":80,""blk"":13,""fga"":355,""fgm"":151,""fta"":141,""ftm"":107,""min"":0,""pps"":1.3,""pts"":452,""reb"":157,""stl"":45,""2fga"":226,""2fgm"":108,""dreb"":132,""oreb"":25,""3p_pct"":33,""fg_pct"":43,""ft_pct"":76,""league"":""Varsity"",""season"":""2023-24"",""2fg_pct"":48,""afg_pct"":49,""games_played"":26}}",,
aj-dybantsa-espn-2025,AJ Dybantsa,SF,Utah Prep,🇺🇸,"{""us"":""6'8"",""intl"":203}","{""us"":195,""intl"":88}",,17,,1,{},,"[""Pontuador de elite nos três níveis"",""Tamanho e fluidez excepcional para um ala"",""Controle de bola e visão de jogo avançados"",""Alto QI de Basquete""]","[""Precisa adicionar mais força"",""Pode ser inconsistente com o esforço defensivo"",""Seleção de arremesso pode ser questionável as vezes""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Utah Prep,stable,1,2,,,,,0.385,,1.8,2.1,Utah Prep,Kevin Durant,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,"{""season_total"":{""pf"":0,""to"":5,""3pa"":29,""3pm"":12,""ast"":19,""blk"":6,""fga"":112,""fgm"":51,""fta"":36,""ftm"":25,""min"":59,""pps"":1.2,""pts"":129,""reb"":76,""stl"":9,""2fga"":83,""2fgm"":39,""dreb"":55,""oreb"":21,""3p_pct"":41,""fg_pct"":46,""ft_pct"":69,""league"":""Varsity"",""season"":""2024-25"",""2fg_pct"":47,""afg_pct"":51,""games_played"":7}}",,
alec-blair-2025,Alec Blair,SF,Gonzaga Prep (WA),🇺🇸,"{""us"":""6'6"",""intl"":198}","{""us"":190,""intl"":86}",,,,31,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Gonzaga Prep (WA),stable,59,60,,,,,0.438,,0.6,1.8,Gonzaga Prep (WA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,
aleks-alston-2025,Aleks Alston,PF,Huntington Prep (WV),🇺🇸,"{""us"":""6'8"",""intl"":203}","{""us"":205,""intl"":93}",,,,45,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Huntington Prep (WV),stable,78,,,,,,0.298,,2.1,1.4,Huntington Prep (WV),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,
alexander-lloyd-2025,Alexander Lloyd,SG,Montverde Academy (FL),🇺🇸,"{""us"":""6'4"",""intl"":197}","{""us"":180,""intl"":82}",,,,24,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Montverde Academy (FL),stable,37,,,,,,0.378,,0.3,1.9,Montverde Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,"{""season_total"":{""pf"":62,""to"":56,""3pa"":181,""3pm"":76,""ast"":64,""blk"":25,""fga"":469,""fgm"":233,""fta"":243,""ftm"":211,""min"":815,""pps"":1.6,""pts"":753,""reb"":102,""stl"":41,""2fga"":288,""2fgm"":157,""dreb"":62,""oreb"":40,""3p_pct"":42,""fg_pct"":50,""ft_pct"":87,""league"":""Varsity"",""season"":""2024-25"",""2fg_pct"":55,""afg_pct"":58,""games_played"":28}}",,
alijah-arenas-espn-2025,Alijah Arenas,SG,Chatsworth (CA),🇺🇸,"{""us"":""6'6"",""intl"":198}","{""us"":197,""intl"":89}",,,,7,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Chatsworth (CA),stable,13,10,,,,,0.389,,0.6,2.4,Chatsworth (CA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,"{""season_total"":{""pf"":3,""to"":3,""3pa"":141,""3pm"":47,""ast"":117,""blk"":22,""fga"":518,""fgm"":280,""fta"":188,""ftm"":142,""min"":0,""pps"":2,""pts"":1025,""reb"":209,""stl"":65,""2fga"":377,""2fgm"":233,""dreb"":134,""oreb"":55,""3p_pct"":33,""fg_pct"":54,""ft_pct"":76,""league"":""Varsity"",""season"":""2024-25"",""2fg_pct"":62,""afg_pct"":59,""games_played"":35}}",,
amare-bynum-2025,A'mare Bynum,PG,Sol Davis Prep (TX),🇺🇸,"{""us"":""6'3"",""intl"":191}","{""us"":175,""intl"":79}",,,,34,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Sol Davis Prep (TX),stable,,44,,,,,0.389,,0.3,2.5,Sol Davis Prep (TX),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,
amari-evans-2025,Amari Evans,SG,Gonzaga Prep (WA),🇺🇸,"{""us"":""6'4"",""intl"":197}","{""us"":200,""intl"":91}",,,,46,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Gonzaga Prep (WA),stable,80,50,,,,,0.412,,0.6,2.2,Gonzaga Prep (WA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,
antione-west-2025,Antione West,PF,Wasatch Academy (UT),🇺🇸,"{""us"":""6'2"",""intl"":188}","{""us"":175,""intl"":79}",,,,56,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Wasatch Academy (UT),stable,92,,,,,,0.345,,1.4,1.6,Wasatch Academy (UT),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,
azavier-robinson-2025,Azavier Robinson,PF,Overtime Elite,🇺🇸,"{""us"":""6'1"",""intl"":185}","{""us"":175,""intl"":79}",,,,63,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Overtime Elite,stable,100,97,,,,,0.334,,1.5,1.4,Overtime Elite,,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,Overtime Elite,,,,
brady-koehler-2025,Brady Koehler,PF,Montverde Academy (FL),🇺🇸,"{""us"":""6'8"",""intl"":203}","{""us"":185,""intl"":84}",,,,61,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Montverde Academy (FL),stable,98,128,,,,,0.312,,1.9,1.3,Montverde Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,
braydon-hawthorne-2025,Braydon Hawthorne,SG,Oak Hill Academy (VA),🇺🇸,,,,,,51,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Oak Hill Academy (VA),stable,85,33,,,,,0.402,,0.3,2.4,Oak Hill Academy (VA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,
braylon-mullins-espn-2025,Braylon Mullins,SG,Fishers (IN),🇺🇸,"{""us"":""6'5"",""intl"":196}","{""us"":185,""intl"":84}",,,,16,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Fishers (IN),stable,17,12,,,,,0.401,,0.8,2.6,Fishers (IN),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,"{""season_total"":{""pf"":46,""to"":59,""3pa"":185,""3pm"":88,""ast"":114,""blk"":31,""fga"":480,""fgm"":312,""fta"":199,""ftm"":175,""min"":0,""pps"":1.8,""pts"":887,""reb"":195,""stl"":100,""2fga"":295,""2fgm"":224,""dreb"":140,""oreb"":53,""3p_pct"":48,""fg_pct"":65,""ft_pct"":88,""league"":""Varsity"",""season"":""2024-25"",""2fg_pct"":76,""afg_pct"":74,""games_played"":28}}",,
caleb-wilson-espn-2025,Caleb Wilson,PF,Holy Innocents' Episcopal School (GA),🇺🇸,"{""us"":""6'9"",""intl"":206}","{""us"":205,""intl"":93}",,,,70,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Holy Innocents' Episcopal School (GA),stable,5,8,,,,,0.367,,1.9,1.4,Holy Innocents' Episcopal School (GA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,"{""season_total"":{""pf"":42,""to"":114,""3pa"":119,""3pm"":40,""ast"":155,""blk"":110,""fga"":476,""fgm"":270,""fta"":149,""ftm"":89,""min"":774,""pps"":1.4,""pts"":669,""reb"":344,""stl"":65,""2fga"":357,""2fgm"":230,""dreb"":276,""oreb"":68,""3p_pct"":34,""fg_pct"":57,""ft_pct"":60,""league"":""Varsity"",""season"":""2024-25"",""2fg_pct"":64,""afg_pct"":61,""games_played"":31}}",,
cameron-boozer-espn-2025,Cameron Boozer,PF,Christopher Columbus (FL),🇺🇸,"{""us"":""6'9"",""intl"":206}","{""us"":215,""intl"":98}",,17,,2,{},,"[""Motor do time, ala versátil"",""Excelence nos rebotes e proteção de aro"",""Bom passador para a posição"",""Linhagem de NBA e alto QI de Basquete""]","[""Não possui tanto atleticismo vertical"",""Ainda não é uma plena ameaça do perímetro"",""Comete muitas faltas""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Christopher Columbus (FL),stable,3,3,,,,,0.368,,2.4,1.6,Christopher Columbus (FL),Kevin Love,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,"{""season_total"":{""pf"":55,""to"":63,""3pa"":126,""3pm"":59,""ast"":105,""blk"":49,""fga"":424,""fgm"":260,""fta"":185,""ftm"":150,""min"":0,""pps"":1.7,""pts"":729,""reb"":389,""stl"":63,""2fga"":298,""2fgm"":201,""dreb"":283,""oreb"":106,""3p_pct"":47,""fg_pct"":61,""ft_pct"":81,""league"":""Varsity"",""season"":""2024-25"",""2fg_pct"":67,""afg_pct"":68,""games_played"":33}}",,
